"Comment","Designator","Footprint","LCSC Part #"
"Conn_Coaxial","J101","",""
"10K","R101","0805","C84376"
"1K","R102","0805","C95781"
"75R","R103","0805","C141697"
"MMBT3904","Q101","SOT-23(SOT-23-3)","C94514"
"68R","R201","0805","C137498"
"100uF","C101 C201","SMD,6.3x5.5mm","C111600"
"100nF","C102 C202","0805","C1711"
"NM","C103","0805",""
"74LVC1G34","U201","SOT-23-5","C840096"
